projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
1005154,2 Holland Park - Acoustics,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005155,Zetter Hotel & Townhouse - Feasibility,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005156,Clay Pigeon Shooting - Noise Assessment & Mitigation,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005157,Walsall College - Business & Sports Hub,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005158,St Paul's Church - Weston-Super-Mare - Acoustics,Acoustics,Ongoing,Abridged Duties,17 Oct 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005159,Gower College - Swansea,Acoustics,Ongoing,Abridged Duties,17 Oct 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005160,West Carr Road - Retford,Acoustics,Ongoing,Abridged Duties,17 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005161,Lickey Road - Longbridge - Phase 2 - SI Testing,Acoustics,Ongoing,Abridged Duties,17 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005162,Redlands Ward Extension - Royal Berkshire Hospital - Reading,Acoustics,Ongoing,Abridged Duties,18 Oct 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005163,University of Bath - 10 West - Acoustics,Acoustics,Ongoing,Abridged Duties,18 Oct 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005164,Neuadd Goch Wind Farm - Support Works,Acoustics,Ongoing,Abridged Duties,18 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005165,Main Road - Kempsey - Worcestershire,Acoustics,Ongoing,Abridged Duties,22 Oct 2013,Acoustics,None,Luke Salter,Andrew Bullmore,Karl Simpson
1005166,Llangollen Medical Centre,Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acoustics,,Stephen Taylor,Jo Edwards,Sophie Maluski
1005167,Guardian Fit Out - Midland Goods Shed - Acoustics,Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acoustics,,,Jo Edwards,Jo Edwards
1005168,JLR - Damson Parkway - Solihull - New Vehicle Despatch Facility,Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acousitcs,,,Jo Edwards,David Morris
1005169,Heald Place Primary School - Manchester,Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005170,North Wharf Gardens - Phase 1 - Acoustics (HL London),Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005171,Magna Park - Milton Keynes - Plot 120 - BREEAM Assessment,Acoustics,Ongoing,Abridged Duties,24 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005172,Former Chestnut Public House - Brade Drive - Coventry,Acoustics,Ongoing,Abridged Duties,24 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005174,Eagle House - Cross Street - Noise,Acoustics,Ongoing,Abridged Duties,24 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005175,JLR - Jaguar Design Centre - Gaydon,Acoustics,Ongoing,Abridged Duties,25 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005176,Cleat Hill Farm - Tamworth - Appeal,Acoustics,Ongoing,Abridged Duties,04 Nov 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005177,Southampton Arts Centre (SNAC),Acoustics,Ongoing,Abridged Duties,05 Nov 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005178,Tresham College - Wellingborough Campus - Stage D,Acoustics,Ongoing,Abridged Duties,05 Nov 2013,Acoustics,,,Jo Edwards,David Morris
1005179,Pen Bryn Oer Wind Farm - Noise Conditions,Acoustics,Ongoing,Abridged Duties,06 Nov 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005180,205 Duggins Lane - Berkwell - Coventry,Acoustics,Ongoing,Abridged Duties,07 Nov 2013,Acoustics,,,Jo Edwards,David Morris
1005181,River Valley Wind Farm - PI,Acoustics,Ongoing,Abridged Duties,07 Nov 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005182,Plymouth College of Arts - New Workshops - Phase 1 - Operational Noise,Acoustics,Ongoing,Abridged Duties,07 Nov 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005183,Arts House Project - Somerset College - Acoustics,Acoustics,Ongoing,Abridged Duties,07 Nov 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005184,Gordonstown Hill Wind Farm - Operational Compliance Assessment,Acoustics,Ongoing,Abridged Duties,08 Nov 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005185,Wingates Wind Farm - Operational Compliance Assessment,Acoustics,Ongoing,Abridged Duties,08 Nov 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005186,UCLH - Mortimer Market - London,Acoustics,Ongoing,Abridged Duties,11 Nov 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005187,Westminster Kingsway College - Victoria Phase 2,Acoustics,Ongoing,Abridged Duties,11 Nov 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005188,Orby Marsh Wind Farm - PI,Acoustics,Ongoing,Abridged Duties,12 Nov 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005190,National Traffic Control Centre - Quinton,Acoustics,Ongoing,Abridged Duties,12 Nov 2013,Acoustics,,,Jo Edwards,David Morris
1005191,The International Quarter - Plot S6 (TIQ) - Acoustics,Acoustics,Ongoing,Abridged Duties,13 Nov 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005192,Tower Hill Medical Centre - Walsall,Acoustics,Ongoing,Abridged Duties,13 Nov 2013,Acoustics,,,Jo Edwards,David Morris
1005193,The Manor - Davies Street - Acoustics,Acoustics,Ongoing,Abridged Duties,14 Nov 2013,Acoustics,,,Jo Edwards,Brian Dennis
1099996,R&D Acoustics,Acoustics,Ongoing,Other,08 Jul 2013,Acoustics,,,Andrew Bullmore,Jo Edwards
1300377,Lord Street Police Station Refurbishment,IoM,Ongoing,Report,10 Jul 2013,Lord Street Offices - Proposed Police Station. Report,,,Mark Hagger,Craig Woodward
1300378,TOWER INSURANCE BUILDING,IoM,Ongoing,Report,12 Aug 2013,Provide independent impartial advice on the choice of equipment and installation for the replacement of the existing Dakin VRV R22 Installation.,,,Mark Hagger,Craig Woodward
1300379,Walsall Manor - HSDU Refurb,IoM,Detailed Proposals (RIBA stage D),Full Duties,12 Sep 2013,HSDU Department is remote from the main hospital Mechanical and electrical design associated with the replacement of the HSDU sterilisers and washers & disinfectors,,Graham Bate,Mark Hagger,Craig Woodward
1300380,CME 4th Floor - Millennium House,IoM,Ongoing,Other,22 Oct 2013,Interoffice work by David Richard. Continuation of previous Project 13.00342,,,Mark Hagger,Craig Woodward
1300381,Allon Academy - Pool Tender Report,IoM,Report Only,Report,31 Oct 2013,Report to analyse tender returns from specialist pool contractors,,,Mark Hagger,Craig Woodward
1300382,Nobles X-Ray Equipment Provision Report,IoM,Report Only,Report,13 Nov 2013,Provision Report - Time charge,,,Mark Hagger,Craig Woodward
1440951,Trinity Kitchen Leeds - Fit Out of Services,Leeds,Production Information (RIBA stage F),Other,03 Jun 2013,Food court fit out as part of Trinity Shopping Centre development,,,Ian Cowley,Steve Pottage
1440952,Victoria Quarter Facade Works,Leeds,Briefing (RIBA stage B),Report,11 Jun 2013,Works associated with Facade related PPM. HL Lighting looking at options for facade lighting. HL M&E likely to be involved in lightning protection and external lighting infrastructure related elements. Client Brief is to address externals related elements of Cundalls PPM report. Fees all subject to confirmation and development as brief becomes firmer. £2.2m budget excluded M&E PPM elements and external lighting. To complete by Q3 2015 to coincide with Victoria Gate.,,,Ian Cowley,Steve Pottage
1440953,Victoria Quarter Fire Alarm Replacement,Leeds,Briefing (RIBA stage B),Performance Duties,11 Jun 2013,"Replacement of fire alarm system within landlord areas on Victoria quater with links to tenant and possible head end interface with new Victoria Gate. Initial appointment likely to be for feasibility elements at £3,900, with subsequent instruction for later stage works.",,,Ian Cowley,Steve Pottage
1440954,"Capitol Way, Colindale",Leeds,Final Proposals (RIBA stage E),Full Duties,12 Jun 2013,"New build 450 apartmnets within Blocks A - D, with energy centre/infrastructure to support a further Block E.",,,Ian Cowley,Steve Pottage
1440955,Shulmans Premises Requirements,Leeds,Ongoing,Other,17 Jun 2013,Review and comment on fit out proposals,,,Ian Cowley,Ian Cowley
1440956,ZU - Investigation Support,Leeds,Final Proposals (RIBA stage E),Other,19 Jun 2013,Toilet extract fan design for ZU supporting HL Abu Dhabi,,,Ian Cowley,Ian Cowley
1440957,Royal Liverpool University Hospital,Leeds,Outline Proposals (RIBA stage C),Other,02 Jul 2013,New Build Hospital Extension,,,Ian Cowley,Andy Bollon
1440958,1 Whitehall Riverside,Leeds,Detailed Proposals (RIBA stage D),Performance Duties,05 Jul 2013,Fit out of remaining area of 6th floor,,,Ian Cowley,Stephen Lee
1440959,New Library - Eastland Shopping Centre,Leeds,Detailed Proposals (RIBA stage D),Stage C/D only,16 Jul 2013,Stage D M&E and Thermal Modelling for Library and learning centre in Australia,,,Ian Cowley,Ian Cowley
1440960,Home Park Redevelopment,Leeds,Detailed Proposals (RIBA stage D),Other,23 Jul 2013,Stade D report for hotel at the Home Park Development,,,Ian Cowley,Ian Cowley
1440961,Town Centre House - Drainage issues,Leeds,Report Only,Report,22 Jul 2013,"Issues regarding odours from the existing above ground drainage installations, within Town centre House and in particular on th e4th and 5th floors. HL commissioned to review as fitted drawings, survey the existing installation and provide a report on their findings, including recommendations and/or actions for the Client to consider.",,,Ian Cowley,Andy Bollon
1440962,Lillie Square 1B & 4 - Works Package,Leeds,Outline Proposals (RIBA stage C),Stage C/D only,13 Aug 2013,"Lillie Square 1B & 4 - FA, London. Facade Access consultancy. This is an inter-office project with London. Contact - Richard Vincent.",,,Ian Cowley,Ian Cowley
1440963,Wood Wharf Primary School,Leeds,Outline Proposals (RIBA stage C),Other,02 Sep 2013,Outline Proposals,,,Ian Cowley,Ian Cowley
1440964,Victoria Centre Nottingham,Leeds,Outline Proposals (RIBA stage C),Full Duties,04 Sep 2013,"Refurbishment of existing mall, retail units & WC's creation of new food court.",,Mark Collier,Ian Cowley,Leigh Groves
1440965,39 - 40 Lowndes Square London,Leeds,Outline Proposals (RIBA stage C),Other,12 Sep 2013,Residential Scheme,,,Ian Cowley,Ian Cowley
1440966,HMP Leeds - Kitchen,Leeds,Detailed Proposals (RIBA stage D),Other,10 Oct 2013,Bid Support for full kitchen refurbishment with temporary kitchen requirement. Fee likley to be £20k with 50/50 risk share/deferred fee.,,,Ian Cowley,Steve Pottage
1440967,Maidment Court,Leeds,Detailed Proposals (RIBA stage D),Performance Duties,14 Oct 2013,Housing with care scheme for 47 apartments.,,,Ian Cowley,Steve Weston
1440968,South Leeds SILC,Leeds,Outline Proposals (RIBA stage C),Other,15 Oct 2013,New build extention to the existing South Leeds Broom Court SILC facility to serve 50 pupils.,,,Ian Cowley,Steve Pottage
1440969,North Leeds SILC,Leeds,Outline Proposals (RIBA stage C),Other,15 Oct 2013,New build extension to existing North Leeds Silc facility on Craven Road to provide capacity for a further 150 SEN places. Centre to also be the centre for SEN Sport in Leeds.,,,Ian Cowley,Steve Pottage
1440970,North Wharf Gardens Phase 1,Leeds,Detailed Proposals (RIBA stage D),Other,15 Oct 2013,New Residential development,,,Ian Cowley,Gary Yeadon
1520358,Brasenose College boiler room survey,Oxford,Briefing (RIBA stage B),Other,06 Jun 2013,Boiler surveys,,,Matthew Jones,Matthew Phinbow
1520359,Engineering Sciences Server Room Relocation Feasibility,Oxford,Appraisal (RIBA stage A),Full Duties,25 Jul 2013,Feasibility.,None,Arthur Dexter,Matthew Jones,Matthew Phinbow
1520361,Heckfield Revised Scheme,Oxford,Construction (RIBA stage K),Full Duties,19 Jun 2013,"Revised scheme, original job number 1520088",,,Matthew Jones,Matthew Phinbow
1520362,Oxford Science Park BT Ducts,Oxford,Report Only,Report,27 Jun 2013,Review of existing comms infrastructure network,,,Matthew Jones,Matthew Phinbow
1520363,UEA Teaching Wall Thermal Analysis,Oxford,Appraisal (RIBA stage A),Report,21 Jun 2013,Thermal analysis of proposed façade improvements.,,,Matthew Jones,Matthew Phinbow
1520364,"St. Joseph's School, Headington",Oxford,Appraisal (RIBA stage A),Full Duties,26 Jun 2013,4 classroom extension,,,Matthew Jones,Matthew Phinbow
1520365,Hoxton Hotel Part L Modelling,Oxford,Appraisal (RIBA stage A),Other,26 Jun 2013,Part L modelling of new hotel in London.,,,Matthew Jones,Matthew Phinbow
1520366,Thom Building New Entrance,Oxford,Detailed Proposals (RIBA stage D),Performance Duties,05 Jul 2013,New entrance & reception to engineering department building.,,,Matthew Jones,Matthew Phinbow
1520367,Brasenose Bar and Kitchen,Oxford,Briefing (RIBA stage B),Stage C/D only,09 Jul 2013,Ventilation proposals to Bar and Kitchen,,Philip Parker,Matthew Jones,Matthew Phinbow
1520368,Said Business School Fan,Oxford,Appraisal (RIBA stage A),Other,25 Jul 2013,Resolve the problem of the noisy existing kitchen extract fan at Phase 1 of the Said Business School.,,,Ian Durbin,Matthew Phinbow
1520369,Cedar School IES Modelling,Oxford,Detailed Proposals (RIBA stage D),Report,29 Jul 2013,"Model constructed in IES for Part L compliance purposes. This will be used for BREEAM energy calculations, Energy Strategy and to check for overheating.",,,Matthew Jones,Matthew Phinbow
1520370,Stats into Maths Feasibility,Oxford,Briefing (RIBA stage B),Report,30 Jul 2013,Feasibility study to relocate the Statistics department in to the existing Maths building.,,,Matthew Jones,Matthew Phinbow
1520371,Irradiator Study,Oxford,Appraisal (RIBA stage A),Report,30 Jul 2013,Study.,,,Matthew Jones,Matthew Phinbow
1520372,Kings Chapel,Oxford,Briefing (RIBA stage B),Full Duties,13 Aug 2013,Chapel being converted into super prime flats.,,,Matthew Jones,Matthew Phinbow
1520373,Vauxhall Sky Gardens Modelling,Oxford,Outline Proposals (RIBA stage C),Other,01 Aug 2013,Modelling & energy strategy for Bournemouth office project.,,,Matthew Jones,Matthew Phinbow
1520374,Imperial College H3 Facility,Oxford,Appraisal (RIBA stage A),Stage C/D only,12 Aug 2013,New Laboratory Facility on Hammersmith Site,None,,Ian Durbin,Matthew Phinbow
1520375,Sloane School,Oxford,Briefing (RIBA stage B),Full Duties,13 Aug 2013,School being converted into super prime flats.,None,,Matthew Jones,Matthew Phinbow
1520376,Edmund Cartright House,Oxford,Report Only,Report,12 Aug 2013,Review of existing R22 refrigerant system and feasibility options to replace\upgrade,,Charles Young,Matthew Jones,Matthew Phinbow
1520377,Heckfield Record Drawings,Oxford,Appraisal (RIBA stage A),Other,13 Aug 2013,Record drawings.,,,Matthew Jones,Matthew Phinbow
1520378,Montacute Schol - IES Modelling,Oxford,Briefing (RIBA stage B),Other,13 Aug 2013,IES modelling interoffice for Bournemouth.,,,Matthew Jones,Matthew Phinbow
1520379,Built Offsite,Oxford,Appraisal (RIBA stage A),Other,13 Aug 2013,"As part of our initial project review we would perform the following tasks: Review fabric performance specification and confirm compliance with regulatory requirements Consider implications of part L 2013/2014 revisions Consider UCL IAQ recommendations and comment Define project criteria a.Key design objectives (robustness/maintenance/cost) b. Design limits and criteria for comfort (thermal/noise/lighting/day-lighting)/health and energy c. Design variants based on orientation/use/population Once we have collectively agreed on the outline specification of the MEP systems we would do the following: Work with you in selecting a number of different scenarios for you to model in IES, differing sizes, uses, orientation of building etc. We would review the model output and perhaps allow for a workshop where we can sit down with your modellers and offer feedback both on the modelling itself and how the res",,,Matthew Jones,Matthew Phinbow
1520380,ICL - Aeronautics and Mechanical,Oxford,Appraisal (RIBA stage A),Report,29 Aug 2013,Report,,,Matthew Jones,Matthew Phinbow
1520381,Brasenose Shackleton Room Acoustics,Oxford,Appraisal (RIBA stage A),Other,27 Aug 2013,Acoutics survey.,None,,Matthew Jones,Matthew Phinbow
1520382,CRUK Stores Cowley,Oxford,Outline Proposals (RIBA stage C),Framework Agreement,06 Sep 2013,Refurbishment of existing -80°C Freezer store and power infrastructure upgrade,,Simon Gibb,Matthew Jones,Matthew Phinbow
1520383,Rex Richards Ground Floor,Oxford,Outline Proposals (RIBA stage C),Full Duties,06 Sep 2013,Refurbishment of ground floor to create new wet laboratory and assoicated support rooms.,,,Ian Durbin,Matthew Phinbow
1520384,Trent Basin,Oxford,Appraisal (RIBA stage A),Report,10 Sep 2013,To produce an energy strategy for 41 houses.,,,Matthew Jones,Matthew Phinbow
1520385,E² IQ Winnersh,Oxford,Report Only,Report,18 Sep 2013,Report.,,,Matthew Jones,Matthew Phinbow
1520386,210 Wharfedale Road,Oxford,Report Only,Report,18 Sep 2013,Report.,,,Matthew Jones,Matthew Phinbow
1520387,PTCL 12-16 FC Installation,Oxford,Outline Proposals (RIBA stage C),Report,13 Sep 2013,Fit out\refurb of existing laboratory to provide a new synthetic research space for 12 new fume cupboards.,,,Ian Durbin,Matthew Phinbow
1520388,Henkel One Roof BREEAM,Oxford,Construction (RIBA stage K),Other,17 Sep 2013,BREEAM Appointment,,,Matthew Jones,Matthew Phinbow
1520389,Robert Hooke Physics,Oxford,Appraisal (RIBA stage A),Full Duties,20 Sep 2013,Basement 80’s building labs for Moritz Riede/Henry Snaith/Andrew Turberfield.,,,Matthew Jones,Matthew Phinbow
1520390,234 Bath Road Retained Scheme,Oxford,Appraisal (RIBA stage A),Abridged Duties,26 Sep 2013,800sqm total refurbishment of existing office buildings.,,,Matthew Jones,Matthew Phinbow
1520391,Henkel EPC,Oxford,Report Only,Other,01 Oct 2013,EPC,,,Matthew Jones,Matthew Phinbow
1520392,Units 2/3 Java Park - Biostorage facility,Oxford,Report Only,Report,11 Oct 2013,Due diligence survey of existing warehouse data centre with a view to converting to Biostorage facility,None,,Matthew Jones,Matthew Phinbow
1520393,Marlborough School,Oxford,Appraisal (RIBA stage A),Other,11 Oct 2013,Survey.,,,Matthew Jones,Matthew Phinbow
1520395,Cloud House,Oxford,Appraisal (RIBA stage A),Full Duties,15 Oct 2013,Private welling St George's hill.,,,Matthew Jones,Matthew Phinbow
1520396,"PGTC BREEAM, UoBirmingham",Oxford,Appraisal (RIBA stage A),Other,25 Oct 2013,BREEAM,,,Matthew Jones,Matthew Phinbow
1520397,26 Red Lion Square EPC,Oxford,Appraisal (RIBA stage A),Other,25 Oct 2013,Interoffice to London for EPC.,,,Matthew Jones,Matthew Phinbow
1520398,Dragonwyck,Oxford,Construction (RIBA stage K),Other,04 Nov 2013,"Luxury house of approximately 19,000 square feet with basement leisure suite and integral garages, including associated external works and landscaping.",,,Matthew Jones,Matthew Phinbow
1520399,Brasenose Boiler Room Design,Oxford,Appraisal (RIBA stage A),Report,11 Nov 2013,Boiler room design.,,,Matthew Jones,Matthew Phinbow
1520400,Treliske Residencies,Oxford,Report Only,Other,13 Nov 2013,Post Occupancy review of MEP services,,,Matthew Jones,Matthew Phinbow
1602113,Wardour Street,Lighting,Ongoing,Other,12 Jun 2013,"Wardour Street, Soho, London. Lighting consultancy. Refurbishment. Inner City.",None,,Dominic Meyrick,Jonathan Rush
1602114,Synergy House,Lighting,Ongoing,Other,12 Jul 2013,"Bull House VVM, 114 - 118 Southampton Row, London. Lighting consultancy. City. Renovation. 13/06/2013 - Postal address - Panatura Properties A Limited, C/O Kay Rahmani, Hyde Park Residence Ltd, Suite 9a, 55 Park Lane, London, W1K 1NA. E-mail - kr@chairmans-office.com and jacinta.farrell@hpr.co.uk. 12/07/2013 - SJJ - KB advised that the project name has changed from Bull House VVM to Synergy House and a project extension to 15/07/2013 was required due to some additional work.",None,Jacinta Farrell,Dominic Meyrick,Karam Bhamra
1602117,Victoria Centre,Lighting,Ongoing,Other,18 Jun 2013,"Victoria Centre, Nottingham. Lighting consultancy.",None,Charles Forrester,Dominic Meyrick,Jonathan Rush
1602118,White Rose Shopping Centre,Lighting,Ongoing,Other,19 Jun 2013,"White Rose Shopping Centre, Leeds. Lighting consultancy.",None,Sharon Weston,Dominic Meyrick,Ben Acton
1602120,"Mill Farm, Wesham",Lighting,Ongoing,Other,24 Jun 2013,"Mill Farm, Wesham. Lighting consultancy. Masterplan, Developer. 24/06/2013 - SJJ - Purchase order number MFV-005, dated 06/03/2013.",None,D A Haythornthwaite,Dominic Meyrick,Lee Gunner
1602121,81 Chancery Lane,Lighting,Ongoing,Abridged Duties,01 Jul 2013,"81 Chancery Lane, London. Lighting consultancy. Mixed Use Development. Renovation. Developer.",None,John Coling,Dominic Meyrick,Chris Fox
1602123,Stage 1 SRM TB - Victoria Centre Mockup,Lighting,Ongoing,Other,18 Jul 2013,"Stage 1 SRM TB - Victoria Centre Mockup, Nottingham. Lighting consultancy. Refurbishment/Developer.",None,John Cole,Dominic Meyrick,Lee Gunner
1602124,Queens Wharf and Riverside Studios IIP,Lighting,Ongoing,Other,18 Jul 2013,"Queens Wharf and Riverside Studios IIP, London. Lighting consultancy. Developer/Urban Regeneration.",None,Nicola Leatherby,Dominic Meyrick,Lee Gunner
1602125,Project Angel - Daylight,Lighting,Ongoing,Other,18 Jul 2013,Project Angel - Daylight. Lighting consultancy. This is an inter-office project with Birmingham. Contact - Carl Saxon.,,,Dominic Meyrick,Axel Jacobs
1602126,Unite Survey,Lighting,Ongoing,Other,22 Jul 2013,"Unite Survey. Lighting consultancy. Purchase order number - 234769, dated 08/07/2013.",None,James Tiernan,Dominic Meyrick,Simon Dove
1602127,3 Palace Green - CfSH Daylight,Lighting,Ongoing,Other,24 Jul 2013,"3 Palace Green - CfSH Daylight. Lighting consultancy. Refurbishment, Other.",None,Mark Merritt,Dominic Meyrick,Axel Jacobs
1602128,Project Springfield,Lighting,Ongoing,Other,24 Jul 2013,"Project Springfield, Queen Anne's Gate, London. Lighting consultancy. Refurbishment, Other.",None,Siobhan Wyatt,Dominic Meyrick,Axel Jacobs
1602129,Imperial West Block C,Lighting,Ongoing,Abridged Duties,22 Aug 2013,"Imperial West Block C, London. Lighting consultancy. This is an inter-office project with London. Contact - Linda Sheehan.",None,,Dominic Meyrick,Jonathan Rush
1602131,Heckfield Place - Exterior Emergency Lighting,Lighting,Construction (RIBA stage K),Abridged Duties,22 Aug 2013,"Heckfield Place - Exterior Emergency Lighting, Reading. Lighting consultancy. This is an inter-office project with Oxford. Contact - Richard Knight. Project Number - 1520361. Project Name - Heckfield Revised Scheme.",,,Dominic Meyrick,Ben Acton
1602133,Portcullis House,Lighting,Ongoing,Abridged Duties,15 Aug 2013,"Portcullis House, London. Lighting consultancy.",None,Ugbana Oyet,Dominic Meyrick,David Linville-Boud
1602135,Saffron Tower,Lighting,Ongoing,Abridged Duties,14 Aug 2013,"Saffron Tower, Croydon. Lighting consultancy.",None,David Farrell,Dominic Meyrick,Jonathan Rush
1602137,Bandstand Square - Daylight,Lighting,Ongoing,Other,14 Aug 2013,"Bandstand Square - Daylight, Woking. Lighting consultancy. This is an inter-office project with Bristol.",None,,Dominic Meyrick,Axel Jacobs
1602138,Sheffield MSA IIP,Lighting,Ongoing,Other,27 Aug 2013,Sheffield MSA IIP. Lighting consultancy.,None,Jeremy Peachey,Dominic Meyrick,Lee Gunner
1602140,Wood Wharf - Daylight,Lighting,Ongoing,Other,13 Sep 2013,"Wood Wharf - Daylight, London. Lighting consultancy. This is an inter-office project with London. Contact - Mark Ryder.",None,,Dominic Meyrick,Axel Jacobs
1602141,Atrium - Imperial West Building D,Lighting,Ongoing,Other,11 Sep 2013,"Atrium - Imperial West Building D, London. Lighting consultancy. Developer, New Build. This is an inter-office project with Bournemouth. Contact - Colm Dougan.",None,,Dominic Meyrick,Simon Dove
1602142,Rode Hall,Lighting,Ongoing,Other,18 Sep 2013,"Rode Hall, Odd Rode, Cheshire. Lighting Consultancy.",None,Richard Baker-Wilbraham,Dominic Meyrick,David Linville-Boud
1602143,WBBS Signage,Lighting,Ongoing,Other,25 Sep 2013,"WBBS Signage, West Bromwich, West Midlands. Lighting consultancy. New Build, Regeneration.",None,Ian Kilmartin,Dominic Meyrick,Karam Bhamra
1602144,20 Fenchurch Street - Sunlight,Lighting,Ongoing,Other,21 Oct 2013,20 Fenchurch Street - Sunlight. Lighting consultancy.,None,Simone Pagani,Dominic Meyrick,Axel Jacobs
1602145,Queen Elizabeth School Lighting Survey,Lighting,Ongoing,Report,15 Oct 2013,"Queen Elizabeth School Lighting Survey, Wimborne, Dorset. Lighting consultancy.",None,,Dominic Meyrick,Simon Dove
1602146,Kings Hill Phase 3A,Lighting,Ongoing,Abridged Duties,14 Oct 2013,,None,Derek Lloyd,Dominic Meyrick,Lee Gunner
1602154,2 Holland Park,Lighting,Ongoing,Other,23 Oct 2013,"2 Holland Park, London. Lighting consultancy.",None,Neville Gouldman,Dominic Meyrick,Lee Gunner
1602162,Chiltern Street,Lighting,Ongoing,Abridged Duties,14 Nov 2013,Lighting,,,Dominic Meyrick,Jonathan Rush
1602164,WCC v Udondem Universal Ltd and others,Lighting,Ongoing,Abridged Duties,14 Nov 2013,Lighting,,,Dominic Meyrick,Axel Jacobs
1620147,Snow Hill,Lighting,Ongoing,Abridged Duties,14 Oct 2013,,,Danny Crump,Dominic Meyrick,David Linville-Boud
1620148,Worcester Arena - Lighting Survey,Lighting,Ongoing,Abridged Duties,14 Oct 2013,HL Lighting Unviersity of Worcester,None,Simon Allsopp,Dominic Meyrick,Simon Dove
1620149,55 Princess Street,Lighting,Outline Proposals (RIBA stage C),Abridged Duties,14 Oct 2013,HL Manchester 04/05637,,,Dominic Meyrick,David Linville-Boud
1720383,Regent Street Cinema,Property Services,Ongoing,Abridged Duties,18 Sep 2013,"SDM requested Fee Increased by £14.5K New Total Fee £82,000",None,,Chris Myers,Sheldon Mann
1720540,RIBA Due Diligence,Property Services,Ongoing,Abridged Duties,11 Jun 2013,due Diligence Survey,None,,Chris Myers,Sheldon Mann
1720541,Shearman and Sterling,Property Services,Ongoing,Abridged Duties,11 Jun 2013,Maintenance Audit and Technical Advice,None,,Chris Myers,Sheldon Mann
1720542,Gaydon Surveys,Property Services,Ongoing,Abridged Duties,11 Jun 2013,Condition and Information Review,None,,Chris Myers,Sheldon Mann
1720543,21 Great Winchester Street PPM,Property Services,Ongoing,Abridged Duties,11 Jun 2013,PPM Survey,None,,Chris Myers,Sheldon Mann
1720544,55 New Bond St 4th Floor,Property Services,Ongoing,Abridged Duties,12 Jun 2013,Site Survey and Desktop Study,None,,Chris Myers,Sheldon Mann
1720545,2nd Floor Duke House EPC,Property Services,Ongoing,Abridged Duties,13 Jun 2013,EPC,None,,Chris Myers,Sheldon Mann
1720547,Shearman and Sterling AHU`,Property Services,Ongoing,Abridged Duties,03 Jul 2013,Advisory,None,,Chris Myers,Sheldon Mann
1720548,Feltham Electrical Support,Property Services,Ongoing,Abridged Duties,16 Jul 2013,Electrical Design Support,None,,Chris Myers,Sheldon Mann
1720549,4 Stratford Place Due Diligence,Property Services,Ongoing,Abridged Duties,16 Jul 2013,Due Diligence Survey,None,,Chris Myers,Sheldon Mann
1720550,Thames Barrier Cafe DEC,Property Services,Ongoing,Abridged Duties,22 Jul 2013,,,,Chris Myers,Sheldon Mann
1720551,Heathrow Phase 1 EPCs,Property Services,Ongoing,Abridged Duties,22 Jul 2013,EPC Assessments,None,,Chris Myers,Sheldon Mann
1720552,Environment Agency DECS 2013,Property Services,Ongoing,Abridged Duties,22 Jul 2013,,,,Chris Myers,Sheldon Mann
1720553,Accenture 4th Floor,Property Services,Ongoing,Abridged Duties,23 Jul 2013,Restack of part 4th floor,None,,Mark Ryder,Sheldon Mann
1720554,Rabobank PPM Forecast 2013,Property Services,Ongoing,Abridged Duties,31 Jul 2013,Advisory,None,,Chris Myers,Sheldon Mann
